time,rank,size,what
0.0094840527,12,16,matrix-initialization
1.5099804401,12,16,mpi-comm
0.0074486732,12,16,computation
0.0097680092,14,16,matrix-initialization
1.5439708233,14,16,mpi-comm
0.0075092316,14,16,computation
0.0093810558,11,16,matrix-initialization
1.5437862873,11,16,mpi-comm
0.0074086189,11,16,computation
0.0099489689,15,16,matrix-initialization
1.5390858650,15,16,mpi-comm
0.0075430870,15,16,computation
0.0093379021,2,16,matrix-initialization
1.5443179607,2,16,mpi-comm
0.0076942444,2,16,computation
0.0082769394,7,16,matrix-initialization
1.5258960724,7,16,mpi-comm
0.0072329044,7,16,computation
0.0092480183,4,16,matrix-initialization
1.5392479897,4,16,mpi-comm
0.0075747967,4,16,computation
0.0094869137,13,16,matrix-initialization
1.5418782234,13,16,mpi-comm
0.0074217319,13,16,computation
0.0095031261,5,16,matrix-initialization
1.5331890583,5,16,mpi-comm
0.0073347092,5,16,computation
0.0074398518,6,16,matrix-initialization
1.5271327496,6,16,mpi-comm
0.0074214935,6,16,computation
0.0094680786,3,16,matrix-initialization
1.5400967598,3,16,mpi-comm
0.0074732304,3,16,computation
0.0090990067,9,16,matrix-initialization
1.5245645046,9,16,mpi-comm
0.0070555210,9,16,computation
0.0077869892,8,16,matrix-initialization
1.5427460670,8,16,mpi-comm
0.0071308613,8,16,computation
0.0083119869,10,16,matrix-initialization
1.5367543697,10,16,mpi-comm
0.0079026222,10,16,computation
0.0102860928,0,16,matrix-initialization
1.5155620575,0,16,mpi-comm
0.0078594685,0,16,computation
0.0072321892,1,16,matrix-initialization
1.5364096165,1,16,mpi-comm
0.0075192451,1,16,computation
0.0095019341,15,16,matrix-initialization
1.4083330631,15,16,mpi-comm
0.0074024200,15,16,computation
0.0096201897,2,16,matrix-initialization
1.4016897678,2,16,mpi-comm
0.0077102184,2,16,computation
0.0093860626,14,16,matrix-initialization
1.3942525387,14,16,mpi-comm
0.0072379112,14,16,computation
0.0094408989,11,16,matrix-initialization
1.3993167877,11,16,mpi-comm
0.0074107647,11,16,computation
0.0077879429,6,16,matrix-initialization
1.4009130001,6,16,mpi-comm
0.0080702305,6,16,computation
0.0101649761,13,16,matrix-initialization
1.3923819065,13,16,mpi-comm
0.0079610348,13,16,computation
0.0075199604,9,16,matrix-initialization
1.4042313099,9,16,mpi-comm
0.0077126026,9,16,computation
0.0094871521,4,16,matrix-initialization
1.3920724392,4,16,mpi-comm
0.0072543621,4,16,computation
0.0083291531,8,16,matrix-initialization
1.4048807621,8,16,mpi-comm
0.0071780682,8,16,computation
0.0081341267,3,16,matrix-initialization
1.3851518631,3,16,mpi-comm
0.0075256824,3,16,computation
0.0097510815,12,16,matrix-initialization
1.3939950466,12,16,mpi-comm
0.0078089237,12,16,computation
0.0076258183,10,16,matrix-initialization
1.4092481136,10,16,mpi-comm
0.0078167915,10,16,computation
0.0080831051,0,16,matrix-initialization
1.3955821991,0,16,mpi-comm
0.0077269077,0,16,computation
0.0075168610,5,16,matrix-initialization
1.4155879021,5,16,mpi-comm
0.0077099800,5,16,computation
0.0074419975,1,16,matrix-initialization
1.3978466988,1,16,mpi-comm
0.0076208115,1,16,computation
0.0086870193,7,16,matrix-initialization
1.4097948074,7,16,mpi-comm
0.0075652599,7,16,computation
0.0097169876,11,16,matrix-initialization
1.4336500168,11,16,mpi-comm
0.0077509880,11,16,computation
0.0093271732,14,16,matrix-initialization
1.4152557850,14,16,mpi-comm
0.0071911812,14,16,computation
0.0099680424,12,16,matrix-initialization
1.4148728848,12,16,mpi-comm
0.0076849461,12,16,computation
0.0103280544,15,16,matrix-initialization
1.4323079586,15,16,mpi-comm
0.0075972080,15,16,computation
0.0099010468,2,16,matrix-initialization
1.4202084541,2,16,mpi-comm
0.0077936649,2,16,computation
0.0094070435,10,16,matrix-initialization
1.4222195148,10,16,mpi-comm
0.0078516006,10,16,computation
0.0072610378,1,16,matrix-initialization
1.4371128082,1,16,mpi-comm
0.0073492527,1,16,computation
0.0090141296,4,16,matrix-initialization
1.4211626053,4,16,mpi-comm
0.0074129105,4,16,computation
0.0096910000,13,16,matrix-initialization
1.4322600365,13,16,mpi-comm
0.0074639320,13,16,computation
0.0073630810,6,16,matrix-initialization
1.4166150093,6,16,mpi-comm
0.0076658726,6,16,computation
0.0089800358,9,16,matrix-initialization
1.4308025837,9,16,mpi-comm
0.0075204372,9,16,computation
0.0084128380,0,16,matrix-initialization
1.4133276939,0,16,mpi-comm
0.0074644089,0,16,computation
