time,rank,size,what
0.0098149776,15,16,matrix-initialization
0.1345231533,15,16,mpi-comm
0.0074319839,15,16,computation
0.0091981888,12,16,matrix-initialization
0.1518774033,12,16,mpi-comm
0.0062537193,12,16,computation
0.0096790791,13,16,matrix-initialization
0.1356804371,13,16,mpi-comm
0.0070426464,13,16,computation
0.0099689960,11,16,matrix-initialization
0.1382598877,11,16,mpi-comm
0.0067141056,11,16,computation
0.0108370781,14,16,matrix-initialization
0.0649199486,14,16,mpi-comm
0.0072171688,14,16,computation
0.0093901157,4,16,matrix-initialization
0.1509220600,4,16,mpi-comm
0.0070939064,4,16,computation
0.0089659691,2,16,matrix-initialization
0.1298797131,2,16,mpi-comm
0.0069620609,2,16,computation
0.0104961395,7,16,matrix-initialization
0.1254687309,7,16,mpi-comm
0.0068123341,7,16,computation
0.0100619793,8,16,matrix-initialization
0.1234040260,8,16,mpi-comm
0.0065388680,8,16,computation
0.0076589584,6,16,matrix-initialization
0.1535634995,6,16,mpi-comm
0.0062105656,6,16,computation
0.0099239349,10,16,matrix-initialization
0.1258869171,10,16,mpi-comm
0.0064947605,10,16,computation
0.0105440617,1,16,matrix-initialization
0.0681378841,1,16,mpi-comm
0.0072813034,1,16,computation
0.0072951317,3,16,matrix-initialization
0.1452600956,3,16,mpi-comm
0.0048949718,3,16,computation
0.0105628967,5,16,matrix-initialization
0.0039806366,5,16,mpi-comm
0.0073685646,5,16,computation
0.0096681118,9,16,matrix-initialization
0.1347942352,9,16,mpi-comm
0.0065307617,9,16,computation
0.0096051693,0,16,matrix-initialization
0.1302599907,0,16,mpi-comm
0.0071849823,0,16,computation
0.0098729134,15,16,matrix-initialization
0.0807723999,15,16,mpi-comm
0.0075504780,15,16,computation
0.0103940964,14,16,matrix-initialization
0.0091478825,14,16,mpi-comm
0.0068478584,14,16,computation
0.0095000267,13,16,matrix-initialization
0.0737791061,13,16,mpi-comm
0.0072317123,13,16,computation
0.0097789764,11,16,matrix-initialization
0.0701689720,11,16,mpi-comm
0.0065202713,11,16,computation
0.0097360611,12,16,matrix-initialization
0.0816025734,12,16,mpi-comm
0.0063953400,12,16,computation
0.0097908974,4,16,matrix-initialization
0.0721139908,4,16,mpi-comm
0.0062930584,4,16,computation
0.0097579956,8,16,matrix-initialization
0.0700969696,8,16,mpi-comm
0.0067429543,8,16,computation
0.0072789192,6,16,matrix-initialization
0.0696854591,6,16,mpi-comm
0.0051684380,6,16,computation
0.0093619823,2,16,matrix-initialization
0.0559818745,2,16,mpi-comm
0.0070981979,2,16,computation
0.0094330311,9,16,matrix-initialization
0.0598533154,9,16,mpi-comm
0.0063047409,9,16,computation
0.0085299015,5,16,matrix-initialization
0.0717954636,5,16,mpi-comm
0.0057735443,5,16,computation
0.0071249008,1,16,matrix-initialization
0.0040500164,1,16,mpi-comm
0.0045039654,1,16,computation
0.0093510151,0,16,matrix-initialization
0.0703048706,0,16,mpi-comm
0.0068941116,0,16,computation
0.0085659027,7,16,matrix-initialization
0.0800101757,7,16,mpi-comm
0.0057520866,7,16,computation
0.0093679428,3,16,matrix-initialization
0.0585885048,3,16,mpi-comm
0.0063335896,3,16,computation
0.0084099770,10,16,matrix-initialization
0.0638976097,10,16,mpi-comm
0.0055935383,10,16,computation
0.0109210014,15,16,matrix-initialization
0.0897428989,15,16,mpi-comm
0.0077142715,15,16,computation
0.0096440315,11,16,matrix-initialization
0.1622517109,11,16,mpi-comm
0.0077843666,11,16,computation
0.0101168156,12,16,matrix-initialization
0.1751050949,12,16,mpi-comm
0.0071201324,12,16,computation
0.0096740723,13,16,matrix-initialization
0.1784098148,13,16,mpi-comm
0.0069921017,13,16,computation
0.0097169876,14,16,matrix-initialization
0.1597504616,14,16,mpi-comm
0.0072183609,14,16,computation
0.0098209381,2,16,matrix-initialization
0.1552827358,2,16,mpi-comm
0.0074150562,2,16,computation
0.0101509094,4,16,matrix-initialization
0.1576249599,4,16,mpi-comm
0.0074181557,4,16,computation
0.0079910755,5,16,matrix-initialization
0.1663577557,5,16,mpi-comm
0.0068662167,5,16,computation
0.0076730251,9,16,matrix-initialization
0.1682643890,9,16,mpi-comm
0.0058896542,9,16,computation
0.0082740784,7,16,matrix-initialization
0.1669130325,7,16,mpi-comm
0.0073187351,7,16,computation
0.0099990368,6,16,matrix-initialization
0.0208344460,6,16,mpi-comm
0.0068325996,6,16,computation
0.0079641342,1,16,matrix-initialization
0.0983917713,1,16,mpi-comm
0.0054502487,1,16,computation
0.0106709003,3,16,matrix-initialization
0.0038156509,3,16,mpi-comm
0.0072212219,3,16,computation
0.0089669228,0,16,matrix-initialization
0.1657397747,0,16,mpi-comm
0.0071601868,0,16,computation
0.0087511539,8,16,matrix-initialization
0.1648967266,8,16,mpi-comm
0.0061028004,8,16,computation
0.0084049702,10,16,matrix-initialization
0.1013846397,10,16,mpi-comm
0.0057034492,10,16,computation
0.0100069046,15,16,matrix-initialization
0.0860393047,15,16,mpi-comm
0.0067787170,15,16,computation
0.0093801022,11,16,matrix-initialization
0.0879881382,11,16,mpi-comm
0.0065710545,11,16,computation
0.0097508430,12,16,matrix-initialization
0.0845782757,12,16,mpi-comm
0.0071499348,12,16,computation
0.0096139908,13,16,matrix-initialization
0.0877130032,13,16,mpi-comm
0.0068581104,13,16,computation
0.0098860264,2,16,matrix-initialization
0.0783410072,2,16,mpi-comm
0.0068328381,2,16,computation
0.0096540451,14,16,matrix-initialization
0.0891878605,14,16,mpi-comm
0.0066020489,14,16,computation
0.0108630657,9,16,matrix-initialization
0.0115110874,9,16,mpi-comm
0.0071558952,9,16,computation
0.0094950199,4,16,matrix-initialization
0.0731649399,4,16,mpi-comm
0.0064423084,4,16,computation
0.0077340603,10,16,matrix-initialization
0.0899760723,10,16,mpi-comm
0.0055890083,10,16,computation
0.0092740059,3,16,matrix-initialization
0.0760850906,3,16,mpi-comm
0.0063450336,3,16,computation
0.0095171928,5,16,matrix-initialization
0.0672366619,5,16,mpi-comm
0.0071182251,5,16,computation
0.0083918571,6,16,matrix-initialization
0.0174040794,6,16,mpi-comm
0.0056450367,6,16,computation
0.0077857971,1,16,matrix-initialization
0.0767085552,1,16,mpi-comm
0.0052545071,1,16,computation
0.0095469952,0,16,matrix-initialization
0.0700204372,0,16,mpi-comm
0.0067205429,0,16,computation
0.0082118511,8,16,matrix-initialization
0.0104043484,8,16,mpi-comm
0.0055465698,8,16,computation
0.0078959465,7,16,matrix-initialization
0.0867691040,7,16,mpi-comm
0.0056951046,7,16,computation
0.0095951557,14,16,matrix-initialization
0.1528806686,14,16,mpi-comm
0.0064725876,14,16,computation
0.0107491016,12,16,matrix-initialization
0.0023715496,12,16,mpi-comm
0.0072073936,12,16,computation
0.0097959042,13,16,matrix-initialization
0.1550939083,13,16,mpi-comm
0.0077228546,13,16,computation
0.0098428726,15,16,matrix-initialization
0.1619338989,15,16,mpi-comm
0.0067782402,15,16,computation
0.0096449852,11,16,matrix-initialization
0.1512842178,11,16,mpi-comm
0.0074989796,11,16,computation
0.0096549988,2,16,matrix-initialization
0.1653430462,2,16,mpi-comm
0.0062351227,2,16,computation
0.0096049309,4,16,matrix-initialization
0.1597998142,4,16,mpi-comm
0.0075073242,4,16,computation
0.0093450546,9,16,matrix-initialization
0.1527106762,9,16,mpi-comm
0.0063652992,9,16,computation
0.0082099438,6,16,matrix-initialization
0.1620769501,6,16,mpi-comm
0.0075950623,6,16,computation
0.0105831623,5,16,matrix-initialization
0.0038027763,5,16,mpi-comm
0.0069911480,5,16,computation
0.0095350742,7,16,matrix-initialization
0.1582622528,7,16,mpi-comm
0.0063159466,7,16,computation
0.0102579594,8,16,matrix-initialization
0.1493430138,8,16,mpi-comm
0.0069050789,8,16,computation
0.0101320744,3,16,matrix-initialization
0.1490702629,3,16,mpi-comm
0.0066869259,3,16,computation
0.0096018314,0,16,matrix-initialization
0.1534712315,0,16,mpi-comm
0.0064170361,0,16,computation
0.0095570087,1,16,matrix-initialization
0.1571443081,1,16,mpi-comm
0.0062155724,1,16,computation
0.0096678734,10,16,matrix-initialization
0.1586019993,10,16,mpi-comm
0.0065588951,10,16,computation
0.0095000267,13,16,matrix-initialization
0.1424205303,13,16,mpi-comm
0.0075955391,13,16,computation
0.0095188618,11,16,matrix-initialization
0.1537063122,11,16,mpi-comm
0.0063328743,11,16,computation
0.0100350380,15,16,matrix-initialization
0.1425952911,15,16,mpi-comm
0.0076045990,15,16,computation
0.0101149082,14,16,matrix-initialization
0.0033884048,14,16,mpi-comm
0.0068895817,14,16,computation
0.0099041462,12,16,matrix-initialization
0.1438980103,12,16,mpi-comm
0.0067939758,12,16,computation
0.0104119778,4,16,matrix-initialization
0.0853519440,4,16,mpi-comm
0.0070130825,4,16,computation
0.0080330372,9,16,matrix-initialization
0.1549196243,9,16,mpi-comm
0.0057773590,9,16,computation
0.0089910030,2,16,matrix-initialization
0.0778028965,2,16,mpi-comm
0.0060992241,2,16,computation
0.0088229179,3,16,matrix-initialization
0.0773289204,3,16,mpi-comm
0.0064344406,3,16,computation
0.0073590279,10,16,matrix-initialization
0.1594896317,10,16,mpi-comm
0.0052673817,10,16,computation
0.0082387924,8,16,matrix-initialization
0.0972127914,8,16,mpi-comm
0.0057442188,8,16,computation
0.0074059963,1,16,matrix-initialization
0.0802977085,1,16,mpi-comm
0.0049753189,1,16,computation
0.0093028545,5,16,matrix-initialization
0.1351268291,5,16,mpi-comm
0.0068054199,5,16,computation
0.0084378719,0,16,matrix-initialization
0.0643067360,0,16,mpi-comm
0.0055634975,0,16,computation
0.0075960159,7,16,matrix-initialization
0.1392636299,7,16,mpi-comm
0.0053224564,7,16,computation
0.0078067780,6,16,matrix-initialization
0.1317820549,6,16,mpi-comm
0.0053355694,6,16,computation
0.0097210407,14,16,matrix-initialization
0.0644109249,14,16,mpi-comm
0.0073900223,14,16,computation
0.0094878674,11,16,matrix-initialization
0.0649042130,11,16,mpi-comm
0.0062189102,11,16,computation
0.0094962120,15,16,matrix-initialization
0.0646412373,15,16,mpi-comm
0.0065245628,15,16,computation
0.0103418827,13,16,matrix-initialization
0.0048468113,13,16,mpi-comm
0.0069081783,13,16,computation
0.0096561909,2,16,matrix-initialization
0.0781500340,2,16,mpi-comm
0.0067093372,2,16,computation
0.0093369484,12,16,matrix-initialization
0.0686724186,12,16,mpi-comm
0.0067667961,12,16,computation
0.0088260174,3,16,matrix-initialization
0.0783510208,3,16,mpi-comm
0.0060369968,3,16,computation
