time,rank,size,what
0.0041291714,1,2,matrix-initialization
0.1351046562,1,2,mpi-comm
0.0008542538,1,2,computation
0.0083270073,0,2,matrix-initialization
0.1319973469,0,2,mpi-comm
0.0008897781,0,2,computation
0.0036549568,0,2,matrix-initialization
0.1282536983,0,2,mpi-comm
0.0006585121,0,2,computation
0.0036389828,1,2,matrix-initialization
0.1261932850,1,2,mpi-comm
0.0007100105,1,2,computation
0.0035920143,1,2,matrix-initialization
0.1494216919,1,2,mpi-comm
0.0008423328,1,2,computation
0.0037410259,0,2,matrix-initialization
0.1334040165,0,2,mpi-comm
0.0007917881,0,2,computation
0.0037200451,0,2,matrix-initialization
0.1990680695,0,2,mpi-comm
0.0007569790,0,2,computation
0.0035340786,1,2,matrix-initialization
0.1887493134,1,2,mpi-comm
0.0006906986,1,2,computation
0.0034880638,1,2,matrix-initialization
0.1458866596,1,2,mpi-comm
0.0006701946,1,2,computation
0.0036861897,0,2,matrix-initialization
0.1092996597,0,2,mpi-comm
0.0006072521,0,2,computation
0.0035099983,1,2,matrix-initialization
0.1538059711,1,2,mpi-comm
0.0009012222,1,2,computation
0.0036828518,0,2,matrix-initialization
0.1387321949,0,2,mpi-comm
0.0008950233,0,2,computation
0.0040848255,1,2,matrix-initialization
0.0806043148,1,2,mpi-comm
0.0006358624,1,2,computation
0.0037670135,0,2,matrix-initialization
0.0880405903,0,2,mpi-comm
0.0006406307,0,2,computation
0.0037820339,0,2,matrix-initialization
0.1297597885,0,2,mpi-comm
0.0008440018,0,2,computation
0.0034959316,1,2,matrix-initialization
0.1534910202,1,2,mpi-comm
0.0008316040,1,2,computation
0.0034518242,1,2,matrix-initialization
0.1517269611,1,2,mpi-comm
0.0007281303,1,2,computation
0.0036740303,0,2,matrix-initialization
0.1280984879,0,2,mpi-comm
0.0007166862,0,2,computation
0.0037240982,0,2,matrix-initialization
0.1583044529,0,2,mpi-comm
0.0007605553,0,2,computation
0.0035359859,1,2,matrix-initialization
0.1358134747,1,2,mpi-comm
0.0007407665,1,2,computation
