size,what,nodes,windows,operation,time
1200,computation,1,0,none,0.00083374977
1200,computation,1,1,get,0.0008687019399999999
1200,computation,1,1,put,0.00087294579
1200,computation,1,2,get,0.0008629083699999999
1200,computation,1,2,put,0.00085582734
1200,computation,2,0,none,0.000612187395
1200,computation,2,1,get,0.000645339495
1200,computation,2,1,put,0.00065393448
1200,computation,2,2,get,0.0006394743900000001
1200,computation,2,2,put,0.0006490945899999999
1200,computation,4,0,none,0.00060364008
1200,computation,4,1,get,0.0007183968974999999
1200,computation,4,1,put,0.0007501959875
1200,computation,4,2,get,0.000654000045
1200,computation,4,2,put,0.00072715879
1200,computation,8,0,none,0.00062931775875
1200,computation,8,1,get,0.0007452458125000001
1200,computation,8,1,put,0.00073235630625
1200,computation,8,2,get,0.0007257848975
1200,computation,8,2,put,0.000745126605
1200,computation,16,0,none,0.0007514759875
1200,computation,16,1,get,0.000673387945
1200,computation,16,1,put,0.000671227279375
1200,computation,16,2,get,0.00063665658375
1200,computation,16,2,put,0.0006415113825
1200,matrix-initialization,1,0,none,0.00464425087
1200,matrix-initialization,1,1,get,0.0046055793800000005
1200,matrix-initialization,1,1,put,0.004694175720000001
1200,matrix-initialization,1,2,get,0.00475389956
1200,matrix-initialization,1,2,put,0.00482442379
1200,matrix-initialization,2,0,none,0.003706514835
1200,matrix-initialization,2,1,get,0.00373373031
1200,matrix-initialization,2,1,put,0.00393263103
1200,matrix-initialization,2,2,get,0.0036941289850000005
1200,matrix-initialization,2,2,put,0.00363224745
1200,matrix-initialization,4,0,none,0.00334641933
1200,matrix-initialization,4,1,get,0.0032719075675000002
1200,matrix-initialization,4,1,put,0.00340066552
1200,matrix-initialization,4,2,get,0.003234404325
1200,matrix-initialization,4,2,put,0.0032449841475
1200,matrix-initialization,8,0,none,0.00323076844625
1200,matrix-initialization,8,1,get,0.0029961705225
1200,matrix-initialization,8,1,put,0.00315310359125
1200,matrix-initialization,8,2,get,0.00301659405375
1200,matrix-initialization,8,2,put,0.0030681788975
1200,matrix-initialization,16,0,none,0.00339267999125
1200,matrix-initialization,16,1,get,0.00289074480375
1200,matrix-initialization,16,1,put,0.00301422029625
1200,matrix-initialization,16,2,get,0.002991066874375
1200,matrix-initialization,16,2,put,0.0029245451106250002
1200,mpi-comm,1,0,none,1.9073479999999998e-05
1200,mpi-comm,1,1,get,0.00032699108
1200,mpi-comm,1,1,put,0.00036039351
1200,mpi-comm,1,2,get,2.2816660000000002e-05
1200,mpi-comm,1,2,put,2.3102760000000002e-05
1200,mpi-comm,2,0,none,0.02009333373
1200,mpi-comm,2,1,get,0.00044859648499999996
1200,mpi-comm,2,1,put,0.003147292135
1200,mpi-comm,2,2,get,0.00021266938000000002
1200,mpi-comm,2,2,put,0.0020721078
1200,mpi-comm,4,0,none,0.05902532339000001
1200,mpi-comm,4,1,get,0.0005031824125
1200,mpi-comm,4,1,put,0.0023618161624999997
1200,mpi-comm,4,2,get,0.0003603816025
1200,mpi-comm,4,2,put,0.0023184478275
1200,mpi-comm,8,0,none,0.07681504786
1200,mpi-comm,8,1,get,0.00132915974
1200,mpi-comm,8,1,put,0.003128913045
1200,mpi-comm,8,2,get,0.0007690608525
1200,mpi-comm,8,2,put,0.0026180177875
1200,mpi-comm,16,0,none,0.11175955683125001
1200,mpi-comm,16,1,get,0.0053603768343750005
1200,mpi-comm,16,1,put,0.004012468458125
1200,mpi-comm,16,2,get,0.0008939191725
1200,mpi-comm,16,2,put,0.003037802874375
12000,computation,1,0,none,0.12386987209
12000,computation,1,1,get,0.12457928658999999
12000,computation,1,1,put,0.12371232511
12000,computation,1,2,get,0.12524814606999998
12000,computation,1,2,put,0.12398881913
12000,computation,2,0,none,0.060265290735
12000,computation,2,1,get,0.06121144295000001
12000,computation,2,1,put,0.061430740355
12000,computation,2,2,get,0.06193231344
12000,computation,2,2,put,0.062023735035000006
12000,computation,4,0,none,0.0273172616925
12000,computation,4,1,get,0.0316855311425
12000,computation,4,1,put,0.0322756648125
12000,computation,4,2,get,0.0321811974075
12000,computation,4,2,put,0.03369789721
12000,computation,8,0,none,0.010064396267500001
12000,computation,8,1,get,0.014550757405
12000,computation,8,1,put,0.01449515820125
12000,computation,8,2,get,0.014491248125
12000,computation,8,2,put,0.0144901633275
12000,computation,16,0,none,0.00662246048375
12000,computation,16,1,get,0.007528167960625
12000,computation,16,1,put,0.007535000143125
12000,computation,16,2,get,0.00752502977625
12000,computation,16,2,put,0.007495257259375001
12000,matrix-initialization,1,0,none,0.08100616932
12000,matrix-initialization,1,1,get,0.08280599118000001
12000,matrix-initialization,1,1,put,0.08121409415
12000,matrix-initialization,1,2,get,0.08278672695
12000,matrix-initialization,1,2,put,0.08154428005
12000,matrix-initialization,2,0,none,0.041552567475
12000,matrix-initialization,2,1,get,0.042229723935000005
12000,matrix-initialization,2,1,put,0.04210549593
12000,matrix-initialization,2,2,get,0.04233448505
12000,matrix-initialization,2,2,put,0.041749525065
12000,matrix-initialization,4,0,none,0.022485876085000002
12000,matrix-initialization,4,1,get,0.02239035964
