time,rank,size,what
0.0268299580,5,16,matrix-initialization
1.6314589977,5,16,mpi-comm
0.1522240639,5,16,computation
0.0272490978,9,16,matrix-initialization
1.6210944653,9,16,mpi-comm
0.1535456181,9,16,computation
0.0268838406,11,16,matrix-initialization
1.6230530739,11,16,mpi-comm
0.1525011063,11,16,computation
0.0279619694,0,16,matrix-initialization
1.6086218357,0,16,mpi-comm
0.1568961143,0,16,computation
0.0270588398,1,16,matrix-initialization
1.6225678921,1,16,mpi-comm
0.1538372040,1,16,computation
0.0273780823,3,16,matrix-initialization
1.6204578876,3,16,mpi-comm
0.1537511349,3,16,computation
0.0270578861,14,16,matrix-initialization
1.6251864433,14,16,mpi-comm
0.1507074833,14,16,computation
0.0272688866,4,16,matrix-initialization
1.6091420650,4,16,mpi-comm
0.1548128128,4,16,computation
0.0267019272,12,16,matrix-initialization
1.6289634705,12,16,mpi-comm
0.1515746117,12,16,computation
0.0271420479,7,16,matrix-initialization
1.6174514294,7,16,mpi-comm
0.1533985138,7,16,computation
0.0275850296,2,16,matrix-initialization
1.5996582508,2,16,mpi-comm
0.1527605057,2,16,computation
0.0270650387,6,16,matrix-initialization
1.6139822006,6,16,mpi-comm
0.1530048847,6,16,computation
0.0277729034,13,16,matrix-initialization
1.6169488430,13,16,mpi-comm
0.1564650536,13,16,computation
0.0271270275,8,16,matrix-initialization
1.6076729298,8,16,mpi-comm
0.1545350552,8,16,computation
0.0269517899,10,16,matrix-initialization
1.6006021500,10,16,mpi-comm
0.1534910202,10,16,computation
0.0278220177,15,16,matrix-initialization
1.6248934269,15,16,mpi-comm
0.1555235386,15,16,computation
