time,rank,size,what
0.0547509193,1,8,matrix-initialization
0.8389496803,1,8,mpi-comm
0.3080654144,1,8,computation
0.0548281670,4,8,matrix-initialization
0.8186862469,4,8,mpi-comm
0.3056037426,4,8,computation
0.0548939705,0,8,matrix-initialization
0.8322939873,0,8,mpi-comm
0.3063299656,0,8,computation
0.0534260273,2,8,matrix-initialization
0.8299031258,2,8,mpi-comm
0.3077430725,2,8,computation
0.0545179844,6,8,matrix-initialization
0.8322846889,6,8,mpi-comm
0.3027732372,6,8,computation
0.0548679829,3,8,matrix-initialization
0.8343417645,3,8,mpi-comm
0.3022830486,3,8,computation
0.0540559292,5,8,matrix-initialization
0.8413536549,5,8,mpi-comm
0.3044714928,5,8,computation
0.0528512001,7,8,matrix-initialization
0.8398051262,7,8,mpi-comm
0.3100466728,7,8,computation
