time,rank,size,what
0.5485870838,0,1,matrix-initialization
0.0000097752,0,1,mpi-send-rec
3.3883461952,0,1,computation
0.5474591255,0,1,matrix-initialization
0.0000088215,0,1,mpi-send-rec
3.3863291740,0,1,computation
0.5484659672,0,1,matrix-initialization
0.0000078678,0,1,mpi-send-rec
3.3884122372,0,1,computation
0.2740809917,0,2,matrix-initialization
0.0185496807,0,2,mpi-send-rec
1.6948263645,0,2,computation
0.2748239040,1,2,matrix-initialization
0.0238521099,1,2,mpi-send-rec
1.6992928982,1,2,computation
0.2745850086,0,2,matrix-initialization
0.0367765427,0,2,mpi-send-rec
1.6950180531,0,2,computation
0.2741639614,1,2,matrix-initialization
0.0295681953,1,2,mpi-send-rec
1.7037267685,1,2,computation
0.1372220516,0,4,matrix-initialization
0.0689949989,0,4,mpi-send-rec
0.8451664448,0,4,computation
0.1372270584,1,4,matrix-initialization
0.0659103394,1,4,mpi-send-rec
0.8485937119,1,4,computation
0.1404500008,2,4,matrix-initialization
0.0579352379,2,4,mpi-send-rec
0.8536438942,2,4,computation
0.1379871368,3,4,matrix-initialization
0.0637340546,3,4,mpi-send-rec
0.8496899605,3,4,computation
0.0689470768,0,8,matrix-initialization
0.0321679115,0,8,mpi-send-rec
0.4230589867,0,8,computation
0.0685319901,5,8,matrix-initialization
0.0304927826,5,8,mpi-send-rec
0.4247984886,5,8,computation
0.0689878464,2,8,matrix-initialization
0.0285661221,2,8,mpi-send-rec
0.4262709618,2,8,computation
0.0689539909,7,8,matrix-initialization
0.0330877304,7,8,mpi-send-rec
0.4206712246,7,8,computation
0.0687129498,1,8,matrix-initialization
0.0297973156,1,8,mpi-send-rec
0.4257366657,1,8,computation
0.0688869953,3,8,matrix-initialization
0.0311262608,3,8,mpi-send-rec
0.4240949154,3,8,computation
0.0692441463,6,8,matrix-initialization
0.0319237709,6,8,mpi-send-rec
0.4221103191,6,8,computation
0.0697231293,4,8,matrix-initialization
0.0291581154,4,8,mpi-send-rec
0.4249949455,4,8,computation
0.0348129272,0,16,matrix-initialization
0.0395507812,0,16,mpi-send-rec
0.2105023861,0,16,computation
0.0355389118,13,16,matrix-initialization
0.0402765274,13,16,mpi-send-rec
0.2123064995,13,16,computation
0.0346779823,4,16,matrix-initialization
0.0530881882,4,16,mpi-send-rec
0.2133059502,4,16,computation
0.0350120068,2,16,matrix-initialization
0.0375366211,2,16,mpi-send-rec
0.2126932144,2,16,computation
0.0350551605,11,16,matrix-initialization
0.0548028946,11,16,mpi-send-rec
0.2123570442,11,16,computation
0.0346000195,7,16,matrix-initialization
0.0570831299,7,16,mpi-send-rec
0.2112977505,7,16,computation
0.0345180035,8,16,matrix-initialization
0.0568521023,8,16,mpi-send-rec
0.2116389275,8,16,computation
0.0348069668,12,16,matrix-initialization
0.0542666912,12,16,mpi-send-rec
0.2130682468,12,16,computation
0.0350351334,3,16,matrix-initialization
0.0525250435,3,16,mpi-send-rec
0.2123329639,3,16,computation
0.0347650051,6,16,matrix-initialization
0.0426571369,6,16,mpi-send-rec
0.2124249935,6,16,computation
0.0350499153,10,16,matrix-initialization
0.0552852154,10,16,mpi-send-rec
0.2126297951,10,16,computation
0.0347890854,1,16,matrix-initialization
0.0382866859,1,16,mpi-send-rec
0.2119443417,1,16,computation
0.0348198414,15,16,matrix-initialization
0.0536477566,15,16,mpi-send-rec
0.2122273445,15,16,computation
0.0347399712,5,16,matrix-initialization
0.0546379089,5,16,mpi-send-rec
0.2116711140,5,16,computation
0.0346989632,14,16,matrix-initialization
0.0555372238,14,16,mpi-send-rec
0.2118797302,14,16,computation
0.0348839760,9,16,matrix-initialization
0.0552892685,9,16,mpi-send-rec
0.2124068737,9,16,computation
