time,rank,size,what
0.1428470612,2,4,matrix-initialization
0.0832669735,2,4,copy-matrix-cpu-to-gpu
0.1975171566,2,4,copy-matrix-gpu-to-cpu
0.0487012863,2,4,mpi-send-rec
0.0044429302,2,4,computation
0.1429550648,1,4,matrix-initialization
0.0837068558,1,4,copy-matrix-cpu-to-gpu
0.1970021725,1,4,copy-matrix-gpu-to-cpu
0.0481398106,1,4,mpi-send-rec
0.0044741631,1,4,computation
0.1428909302,0,4,matrix-initialization
0.0833590031,0,4,copy-matrix-cpu-to-gpu
0.1986289024,0,4,copy-matrix-gpu-to-cpu
0.0482149124,0,4,mpi-send-rec
0.0044462681,0,4,computation
0.1424808502,3,4,matrix-initialization
0.0832011700,3,4,copy-matrix-cpu-to-gpu
0.1956489086,3,4,copy-matrix-gpu-to-cpu
0.0486431122,3,4,mpi-send-rec
0.0046081543,3,4,computation
0.1427390575,3,4,matrix-initialization
0.0837039948,3,4,copy-matrix-cpu-to-gpu
0.1971850395,3,4,copy-matrix-gpu-to-cpu
0.0392172337,3,4,mpi-send-rec
0.0044503212,3,4,computation
0.1434080601,0,4,matrix-initialization
0.0839109421,0,4,copy-matrix-cpu-to-gpu
0.1977667809,0,4,copy-matrix-gpu-to-cpu
0.0388476849,0,4,mpi-send-rec
0.0047168732,0,4,computation
0.1425149441,1,4,matrix-initialization
0.0823400021,1,4,copy-matrix-cpu-to-gpu
0.1959640980,1,4,copy-matrix-gpu-to-cpu
0.0415549278,1,4,mpi-send-rec
0.0044491291,1,4,computation
0.1425569057,2,4,matrix-initialization
0.0825281143,2,4,copy-matrix-cpu-to-gpu
0.1978619099,2,4,copy-matrix-gpu-to-cpu
0.0405707359,2,4,mpi-send-rec
0.0044381618,2,4,computation
0.1427361965,3,4,matrix-initialization
0.0816438198,3,4,copy-matrix-cpu-to-gpu
0.1970469952,3,4,copy-matrix-gpu-to-cpu
0.0326292515,3,4,mpi-send-rec
0.0046603680,3,4,computation
0.1432628632,1,4,matrix-initialization
0.0825870037,1,4,copy-matrix-cpu-to-gpu
0.1972420216,1,4,copy-matrix-gpu-to-cpu
0.0366315842,1,4,mpi-send-rec
0.0044422150,1,4,computation
0.1437520981,2,4,matrix-initialization
0.0814158916,2,4,copy-matrix-cpu-to-gpu
0.1987349987,2,4,copy-matrix-gpu-to-cpu
0.0320320129,2,4,mpi-send-rec
0.0044479370,2,4,computation
0.1437690258,0,4,matrix-initialization
0.0823419094,0,4,copy-matrix-cpu-to-gpu
0.1993391514,0,4,copy-matrix-gpu-to-cpu
0.0354456902,0,4,mpi-send-rec
0.0046913624,0,4,computation
0.0716249943,3,8,matrix-initialization
0.0420589447,3,8,copy-matrix-cpu-to-gpu
0.0982379913,3,8,copy-matrix-gpu-to-cpu
0.0654821396,3,8,mpi-send-rec
0.0022761822,3,8,computation
0.0719888210,0,8,matrix-initialization
0.0423381329,0,8,copy-matrix-cpu-to-gpu
0.0993630886,0,8,copy-matrix-gpu-to-cpu
0.0645503998,0,8,mpi-send-rec
0.0025656223,0,8,computation
0.0716531277,2,8,matrix-initialization
0.0419528484,2,8,copy-matrix-cpu-to-gpu
0.0989451408,2,8,copy-matrix-gpu-to-cpu
0.0652804375,2,8,mpi-send-rec
0.0022654533,2,8,computation
0.0719330311,1,8,matrix-initialization
0.0422139168,1,8,copy-matrix-cpu-to-gpu
0.0989279747,1,8,copy-matrix-gpu-to-cpu
0.0646948814,1,8,mpi-send-rec
0.0025935173,1,8,computation
0.0714547634,4,8,matrix-initialization
0.0438370705,4,8,copy-matrix-cpu-to-gpu
0.0997881889,4,8,copy-matrix-gpu-to-cpu
0.0571658611,4,8,mpi-send-rec
0.0022881031,4,8,computation
0.0716860294,6,8,matrix-initialization
0.0435059071,6,8,copy-matrix-cpu-to-gpu
0.0994169712,6,8,copy-matrix-gpu-to-cpu
0.0572366714,6,8,mpi-send-rec
0.0025813580,6,8,computation
0.0716481209,5,8,matrix-initialization
0.0435249805,5,8,copy-matrix-cpu-to-gpu
0.0990691185,5,8,copy-matrix-gpu-to-cpu
0.0572984219,5,8,mpi-send-rec
0.0022826195,5,8,computation
0.0715310574,7,8,matrix-initialization
0.0432040691,7,8,copy-matrix-cpu-to-gpu
0.0984671116,7,8,copy-matrix-gpu-to-cpu
0.0575397015,7,8,mpi-send-rec
0.0024943352,7,8,computation
0.0721719265,2,8,matrix-initialization
0.0424170494,2,8,copy-matrix-cpu-to-gpu
0.0997340679,2,8,copy-matrix-gpu-to-cpu
0.0479173660,2,8,mpi-send-rec
0.0022656918,2,8,computation
0.0716187954,1,8,matrix-initialization
0.0423359871,1,8,copy-matrix-cpu-to-gpu
0.0992789268,1,8,copy-matrix-gpu-to-cpu
0.0482032299,1,8,mpi-send-rec
0.0023963451,1,8,computation
0.0713031292,3,8,matrix-initialization
0.0418829918,3,8,copy-matrix-cpu-to-gpu
0.0984978676,3,8,copy-matrix-gpu-to-cpu
0.0481920242,3,8,mpi-send-rec
0.0022678375,3,8,computation
0.0726530552,0,8,matrix-initialization
0.0424199104,0,8,copy-matrix-cpu-to-gpu
0.1001129150,0,8,copy-matrix-gpu-to-cpu
0.0476775169,0,8,mpi-send-rec
0.0024034977,0,8,computation
0.0713601112,4,8,matrix-initialization
0.0417790413,4,8,copy-matrix-cpu-to-gpu
0.0995659828,4,8,copy-matrix-gpu-to-cpu
0.0470781326,4,8,mpi-send-rec
0.0022790432,4,8,computation
0.0711951256,6,8,matrix-initialization
0.0421428680,6,8,copy-matrix-cpu-to-gpu
0.0995178223,6,8,copy-matrix-gpu-to-cpu
0.0471630096,6,8,mpi-send-rec
0.0027616024,6,8,computation
0.0710029602,7,8,matrix-initialization
0.0430469513,7,8,copy-matrix-cpu-to-gpu
0.0985379219,7,8,copy-matrix-gpu-to-cpu
0.0473916531,7,8,mpi-send-rec
0.0027537346,7,8,computation
0.0715429783,5,8,matrix-initialization
0.0432531834,5,8,copy-matrix-cpu-to-gpu
0.0983691216,5,8,copy-matrix-gpu-to-cpu
0.0477337837,5,8,mpi-send-rec
0.0022735596,5,8,computation
0.0363800526,2,16,matrix-initialization
0.0214540958,2,16,copy-matrix-cpu-to-gpu
0.0499281883,2,16,copy-matrix-gpu-to-cpu
0.0510251522,2,16,mpi-send-rec
0.0011970997,2,16,computation
0.0356011391,1,16,matrix-initialization
0.0218098164,1,16,copy-matrix-cpu-to-gpu
0.0496959686,1,16,copy-matrix-gpu-to-cpu
0.0508580208,1,16,mpi-send-rec
0.0013680458,1,16,computation
0.0360190868,3,16,matrix-initialization
0.0216670036,3,16,copy-matrix-cpu-to-gpu
0.0493049622,3,16,copy-matrix-gpu-to-cpu
0.0511577129,3,16,mpi-send-rec
0.0011973381,3,16,computation
0.0362160206,9,16,matrix-initialization
0.0238800049,9,16,copy-matrix-cpu-to-gpu
0.0496439934,9,16,copy-matrix-gpu-to-cpu
0.0464656353,9,16,mpi-send-rec
0.0011794567,9,16,computation
0.0360090733,0,16,matrix-initialization
0.0214610100,0,16,copy-matrix-cpu-to-gpu
0.0501468182,0,16,copy-matrix-gpu-to-cpu
0.0507338047,0,16,mpi-send-rec
0.0014488697,0,16,computation
0.0360858440,11,16,matrix-initialization
0.0238611698,11,16,copy-matrix-cpu-to-gpu
0.0493519306,11,16,copy-matrix-gpu-to-cpu
0.0466091633,11,16,mpi-send-rec
0.0011672974,11,16,computation
0.0361659527,13,16,matrix-initialization
0.0228981972,13,16,copy-matrix-cpu-to-gpu
0.0493359566,13,16,copy-matrix-gpu-to-cpu
0.0720205307,13,16,mpi-send-rec
0.0011603832,13,16,computation
0.0363299847,4,16,matrix-initialization
0.0232310295,4,16,copy-matrix-cpu-to-gpu
0.0500459671,4,16,copy-matrix-gpu-to-cpu
0.0408158302,4,16,mpi-send-rec
0.0011899471,4,16,computation
0.0365319252,8,16,matrix-initialization
0.0229470730,8,16,copy-matrix-cpu-to-gpu
0.0503230095,8,16,copy-matrix-gpu-to-cpu
0.0470571518,8,16,mpi-send-rec
0.0011906624,8,16,computation
0.0368940830,12,16,matrix-initialization
0.0220251083,12,16,copy-matrix-cpu-to-gpu
0.0504670143,12,16,copy-matrix-gpu-to-cpu
0.0721535683,12,16,mpi-send-rec
0.0011756420,12,16,computation
0.0361700058,7,16,matrix-initialization
0.0232851505,7,16,copy-matrix-cpu-to-gpu
0.0495240688,7,16,copy-matrix-gpu-to-cpu
0.0407977104,7,16,mpi-send-rec
0.0013437271,7,16,computation
0.0365390778,10,16,matrix-initialization
0.0227999687,10,16,copy-matrix-cpu-to-gpu
0.0498518944,10,16,copy-matrix-gpu-to-cpu
0.0470051765,10,16,mpi-send-rec
0.0013759136,10,16,computation
0.0357890129,15,16,matrix-initialization
0.0218410492,15,16,copy-matrix-cpu-to-gpu
0.0496490002,15,16,copy-matrix-gpu-to-cpu
0.0717172623,15,16,mpi-send-rec
0.0013599396,15,16,computation
0.0362188816,5,16,matrix-initialization
0.0232431889,5,16,copy-matrix-cpu-to-gpu
0.0495438576,5,16,copy-matrix-gpu-to-cpu
0.0409214497,5,16,mpi-send-rec
0.0011868477,5,16,computation
0.0362379551,14,16,matrix-initialization
0.0218739510,14,16,copy-matrix-cpu-to-gpu
0.0502760410,14,16,copy-matrix-gpu-to-cpu
0.0719749928,14,16,mpi-send-rec
0.0013790131,14,16,computation
0.0362839699,6,16,matrix-initialization
0.0232110023,6,16,copy-matrix-cpu-to-gpu
0.0497441292,6,16,copy-matrix-gpu-to-cpu
0.0407192707,6,16,mpi-send-rec
0.0013778210,6,16,computation
0.0183072090,2,32,matrix-initialization
0.0113418102,2,32,copy-matrix-cpu-to-gpu
0.0251419544,2,32,copy-matrix-gpu-to-cpu
