time(s),rank-worker,number-of-nodes,algorithm,thing-measured
102.116200,1,4,GPU-Cuda,init-A-B-C
1.337848,1,4,GPU-Cuda,Copy-A-and-C-to-device
5.591719,1,4,GPU-Cuda,compute-col-block-B
0.000002,1,4,GPU-Cuda,get-ready-allgatherv
6.664241,1,4,GPU-Cuda,perform-allgatherv
1.342067,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
4.702734,1,4,GPU-Cuda,compute-block-C-result
0.268562,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.025834,1,4,GPU-Cuda,move-block-C-to-global-C
6.107438,1,4,GPU-Cuda,compute-col-block-B
0.000001,1,4,GPU-Cuda,get-ready-allgatherv
6.692330,1,4,GPU-Cuda,perform-allgatherv
1.338069,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.257263,1,4,GPU-Cuda,compute-block-C-result
0.268422,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.030852,1,4,GPU-Cuda,move-block-C-to-global-C
6.165930,1,4,GPU-Cuda,compute-col-block-B
0.000002,1,4,GPU-Cuda,get-ready-allgatherv
6.687890,1,4,GPU-Cuda,perform-allgatherv
1.344204,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.258698,1,4,GPU-Cuda,compute-block-C-result
0.268479,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.030988,1,4,GPU-Cuda,move-block-C-to-global-C
6.236227,1,4,GPU-Cuda,compute-col-block-B
0.000002,1,4,GPU-Cuda,get-ready-allgatherv
6.667927,1,4,GPU-Cuda,perform-allgatherv
1.350372,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.258872,1,4,GPU-Cuda,compute-block-C-result
0.268569,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.026836,1,4,GPU-Cuda,move-block-C-to-global-C
102.175536,2,4,GPU-Cuda,init-A-B-C
1.327491,2,4,GPU-Cuda,Copy-A-and-C-to-device
5.638065,2,4,GPU-Cuda,compute-col-block-B
0.000002,2,4,GPU-Cuda,get-ready-allgatherv
6.566458,2,4,GPU-Cuda,perform-allgatherv
1.335330,2,4,GPU-Cuda,copy-column-B-cpu-to-gpu
4.721872,2,4,GPU-Cuda,compute-block-C-result
0.268957,2,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.025786,2,4,GPU-Cuda,move-block-C-to-global-C
5.909317,2,4,GPU-Cuda,compute-col-block-B
0.000001,2,4,GPU-Cuda,get-ready-allgatherv
6.898559,2,4,GPU-Cuda,perform-allgatherv
1.338896,2,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.269594,2,4,GPU-Cuda,compute-block-C-result
0.268879,2,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.031035,2,4,GPU-Cuda,move-block-C-to-global-C
5.948579,2,4,GPU-Cuda,compute-col-block-B
0.000002,2,4,GPU-Cuda,get-ready-allgatherv
6.917677,2,4,GPU-Cuda,perform-allgatherv
1.346403,2,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.273528,2,4,GPU-Cuda,compute-block-C-result
0.268755,2,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.031596,2,4,GPU-Cuda,move-block-C-to-global-C
5.967105,2,4,GPU-Cuda,compute-col-block-B
0.000002,2,4,GPU-Cuda,get-ready-allgatherv
6.884721,2,4,GPU-Cuda,perform-allgatherv
1.348759,2,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.270110,2,4,GPU-Cuda,compute-block-C-result
0.268689,2,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.026084,2,4,GPU-Cuda,move-block-C-to-global-C
102.153539,3,4,GPU-Cuda,init-A-B-C
1.343560,3,4,GPU-Cuda,Copy-A-and-C-to-device
5.584711,3,4,GPU-Cuda,compute-col-block-B
0.000002,3,4,GPU-Cuda,get-ready-allgatherv
6.636340,3,4,GPU-Cuda,perform-allgatherv
1.356037,3,4,GPU-Cuda,copy-column-B-cpu-to-gpu
4.693323,3,4,GPU-Cuda,compute-block-C-result
0.268621,3,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.025666,3,4,GPU-Cuda,move-block-C-to-global-C
5.862230,3,4,GPU-Cuda,compute-col-block-B
0.000002,3,4,GPU-Cuda,get-ready-allgatherv
6.849248,3,4,GPU-Cuda,perform-allgatherv
1.348391,3,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.271064,3,4,GPU-Cuda,compute-block-C-result
0.268532,3,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.026244,3,4,GPU-Cuda,move-block-C-to-global-C
5.854771,3,4,GPU-Cuda,compute-col-block-B
0.000002,3,4,GPU-Cuda,get-ready-allgatherv
6.958529,3,4,GPU-Cuda,perform-allgatherv
1.364857,3,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.270017,3,4,GPU-Cuda,compute-block-C-result
0.268737,3,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.027169,3,4,GPU-Cuda,move-block-C-to-global-C
5.925122,3,4,GPU-Cuda,compute-col-block-B
0.000001,3,4,GPU-Cuda,get-ready-allgatherv
6.913654,3,4,GPU-Cuda,perform-allgatherv
1.370724,3,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.267401,3,4,GPU-Cuda,compute-block-C-result
0.268550,3,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.025864,3,4,GPU-Cuda,move-block-C-to-global-C
102.229380,0,4,GPU-Cuda,init-A-B-C
1.353936,0,4,GPU-Cuda,Copy-A-and-C-to-device
5.650119,0,4,GPU-Cuda,compute-col-block-B
0.000003,0,4,GPU-Cuda,get-ready-allgatherv
6.483788,0,4,GPU-Cuda,perform-allgatherv
1.364384,0,4,GPU-Cuda,copy-column-B-cpu-to-gpu
4.722605,0,4,GPU-Cuda,compute-block-C-result
0.278706,0,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.042850,0,4,GPU-Cuda,move-block-C-to-global-C
5.906021,0,4,GPU-Cuda,compute-col-block-B
0.000002,0,4,GPU-Cuda,get-ready-allgatherv
6.529521,0,4,GPU-Cuda,perform-allgatherv
1.355934,0,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.263142,0,4,GPU-Cuda,compute-block-C-result
0.276918,0,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.046116,0,4,GPU-Cuda,move-block-C-to-global-C
5.946847,0,4,GPU-Cuda,compute-col-block-B
0.000002,0,4,GPU-Cuda,get-ready-allgatherv
6.562568,0,4,GPU-Cuda,perform-allgatherv
1.368614,0,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.255517,0,4,GPU-Cuda,compute-block-C-result
0.285588,0,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.035318,0,4,GPU-Cuda,move-block-C-to-global-C
5.961519,0,4,GPU-Cuda,compute-col-block-B
0.000002,0,4,GPU-Cuda,get-ready-allgatherv
6.582044,0,4,GPU-Cuda,perform-allgatherv
1.374387,0,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.255727,0,4,GPU-Cuda,compute-block-C-result
0.279279,0,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.045582,0,4,GPU-Cuda,move-block-C-to-global-C
102.128644,1,4,GPU-Cuda,init-A-B-C
1.354536,1,4,GPU-Cuda,Copy-A-and-C-to-device
5.594368,1,4,GPU-Cuda,compute-col-block-B
0.000003,1,4,GPU-Cuda,get-ready-allgatherv
6.461135,1,4,GPU-Cuda,perform-allgatherv
1.356742,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
4.700407,1,4,GPU-Cuda,compute-block-C-result
0.268777,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.026264,1,4,GPU-Cuda,move-block-C-to-global-C
6.146284,1,4,GPU-Cuda,compute-col-block-B
0.000002,1,4,GPU-Cuda,get-ready-allgatherv
6.517853,1,4,GPU-Cuda,perform-allgatherv
1.367546,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.253926,1,4,GPU-Cuda,compute-block-C-result
0.268329,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.025700,1,4,GPU-Cuda,move-block-C-to-global-C
6.201980,1,4,GPU-Cuda,compute-col-block-B
0.000002,1,4,GPU-Cuda,get-ready-allgatherv
6.582647,1,4,GPU-Cuda,perform-allgatherv
1.373536,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.257609,1,4,GPU-Cuda,compute-block-C-result
0.268358,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.030199,1,4,GPU-Cuda,move-block-C-to-global-C
6.220202,1,4,GPU-Cuda,compute-col-block-B
0.000001,1,4,GPU-Cuda,get-ready-allgatherv
6.532311,1,4,GPU-Cuda,perform-allgatherv
1.375038,1,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.252983,1,4,GPU-Cuda,compute-block-C-result
0.268404,1,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.026041,1,4,GPU-Cuda,move-block-C-to-global-C
102.091636,2,4,GPU-Cuda,init-A-B-C
1.332521,2,4,GPU-Cuda,Copy-A-and-C-to-device
5.597724,2,4,GPU-Cuda,compute-col-block-B
0.000002,2,4,GPU-Cuda,get-ready-allgatherv
6.517572,2,4,GPU-Cuda,perform-allgatherv
1.329234,2,4,GPU-Cuda,copy-column-B-cpu-to-gpu
4.738396,2,4,GPU-Cuda,compute-block-C-result
0.268896,2,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.023875,2,4,GPU-Cuda,move-block-C-to-global-C
5.875424,2,4,GPU-Cuda,compute-col-block-B
0.000001,2,4,GPU-Cuda,get-ready-allgatherv
6.750770,2,4,GPU-Cuda,perform-allgatherv
1.366342,2,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.261704,2,4,GPU-Cuda,compute-block-C-result
0.268476,2,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.024439,2,4,GPU-Cuda,move-block-C-to-global-C
5.924801,2,4,GPU-Cuda,compute-col-block-B
0.000002,2,4,GPU-Cuda,get-ready-allgatherv
6.856046,2,4,GPU-Cuda,perform-allgatherv
1.363024,2,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.265944,2,4,GPU-Cuda,compute-block-C-result
0.268456,2,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.029457,2,4,GPU-Cuda,move-block-C-to-global-C
5.940111,2,4,GPU-Cuda,compute-col-block-B
0.000001,2,4,GPU-Cuda,get-ready-allgatherv
6.835341,2,4,GPU-Cuda,perform-allgatherv
1.359019,2,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.266923,2,4,GPU-Cuda,compute-block-C-result
0.268511,2,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.024948,2,4,GPU-Cuda,move-block-C-to-global-C
102.068756,3,4,GPU-Cuda,init-A-B-C
1.326936,3,4,GPU-Cuda,Copy-A-and-C-to-device
5.577891,3,4,GPU-Cuda,compute-col-block-B
0.000001,3,4,GPU-Cuda,get-ready-allgatherv
6.597280,3,4,GPU-Cuda,perform-allgatherv
1.325946,3,4,GPU-Cuda,copy-column-B-cpu-to-gpu
4.702638,3,4,GPU-Cuda,compute-block-C-result
0.268884,3,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.025886,3,4,GPU-Cuda,move-block-C-to-global-C
5.842366,3,4,GPU-Cuda,compute-col-block-B
0.000002,3,4,GPU-Cuda,get-ready-allgatherv
6.761062,3,4,GPU-Cuda,perform-allgatherv
1.338242,3,4,GPU-Cuda,copy-column-B-cpu-to-gpu
3.262226,3,4,GPU-Cuda,compute-block-C-result
0.268599,3,4,GPU-Cuda,copy-block-C-gpu-to-cpu
1.026431,3,4,GPU-Cuda,move-block-C-to-global-C
5.887038,3,4,GPU-Cuda,compute-col-block-B
0.000002,3,4,GPU-Cuda,get-ready-allgatherv
